iter	Passed	Remaining
743	3675	1264
744	3680	1259
745	3684	1254
746	3688	1249
747	3693	1244
748	3697	1239
749	3701	1233
750	3706	1228
751	3710	1223
752	3714	1218
753	3719	1213
754	3723	1208
755	3727	1203
756	3731	1197
757	3735	1192
758	3740	1187
759	3744	1182
760	3748	1177
761	3753	1172
762	3757	1167
763	3761	1161
764	3765	1156
765	3769	1151
766	3774	1146
767	3778	1141
768	3782	1136
769	3787	1131
770	3791	1126
771	3795	1121
772	3801	1116
773	3805	1111
774	3809	1105
775	3814	1100
776	3817	1095
777	3822	1090
778	3826	1085
779	3831	1080
780	3835	1075
781	3840	1070
782	3845	1065
783	3849	1060
784	3853	1055
785	3857	1050
786	3862	1045
787	3865	1040
788	3869	1034
789	3874	1029
790	3879	1024
791	3883	1019
792	3888	1014
793	3892	1009
794	3896	1004
795	3900	999
796	3905	994
797	3909	989
798	3914	984
799	3918	979
800	3922	974
801	3927	969
802	3931	964
803	3936	959
804	3941	954
805	3945	949
806	3949	944
807	3954	939
808	3957	934
809	3962	929
810	3967	924
811	3971	919
812	3975	914
813	3980	909
814	3984	904
815	3988	899
816	3993	894
817	3997	889
818	4002	884
819	4006	879
820	4010	874
821	4015	869
822	4019	864
823	4023	859
824	4027	854
825	4031	849
826	4036	844
827	4040	839
828	4044	834
829	4049	829
830	4054	824
831	4058	819
832	4062	814
833	4066	809
834	4071	804
835	4076	799
836	4080	794
837	4084	789
838	4089	784
839	4093	779
840	4098	774
841	4102	769
842	4106	764
843	4110	759
844	4115	754
845	4120	750
846	4124	745
847	4129	740
848	4134	735
849	4137	730
850	4142	725
851	4146	720
852	4150	715
853	4154	710
854	4159	705
855	4163	700
856	4168	695
857	4172	690
858	4176	685
859	4181	680
860	4185	675
861	4189	670
862	4194	665
863	4198	660
864	4202	655
865	4207	651
866	4211	646
867	4216	641
868	4221	636
869	4225	631
870	4229	626
871	4233	621
872	4237	616
873	4241	611
874	4245	606
875	4249	601
876	4254	596
877	4258	591
878	4262	586
879	4267	581
880	4272	577
881	4276	572
882	4280	567
883	4285	562
884	4288	557
885	4293	552
886	4297	547
887	4301	542
888	4306	537
889	4310	532
890	4315	527
891	4319	522
892	4323	518
893	4327	513
894	4332	508
895	4336	503
896	4340	498
897	4345	493
898	4349	488
899	4354	483
900	4359	478
901	4363	474
902	4367	469
903	4372	464
904	4377	459
905	4381	454
906	4386	449
907	4390	444
908	4394	439
909	4398	435
910	4403	430
911	4407	425
912	4411	420
913	4415	415
914	4420	410
915	4424	405
916	4428	400
917	4432	395
918	4436	391
919	4441	386
920	4445	381
921	4450	376
922	4454	371
923	4459	366
924	4463	361
925	4467	357
926	4472	352
927	4476	347
928	4480	342
929	4485	337
930	4489	332
931	4494	327
932	4498	323
933	4502	318
934	4507	313
935	4511	308
936	4515	303
937	4520	298
938	4525	293
939	4528	289
940	4533	284
941	4537	279
942	4541	274
943	4546	269
944	4551	264
945	4555	260
946	4560	255
947	4564	250
948	4568	245
949	4573	240
950	4577	235
951	4581	230
952	4586	226
953	4591	221
954	4595	216
955	4600	211
956	4604	206
957	4608	202
958	4613	197
959	4617	192
960	4621	187
961	4625	182
962	4630	177
963	4634	173
964	4638	168
965	4642	163
966	4647	158
967	4652	153
968	4656	148
969	4661	144
970	4665	139
971	4669	134
972	4673	129
973	4677	124
974	4681	120
975	4686	115
976	4690	110
977	4695	105
978	4700	100
979	4704	96
980	4709	91
981	4714	86
982	4718	81
983	4722	76
984	4726	71
985	4730	67
986	4735	62
987	4739	57
988	4743	52
989	4748	47
990	4752	43
991	4756	38
992	4761	33
993	4766	28
994	4770	23
995	4774	19
996	4779	14
997	4783	9
998	4787	4
999	4791	0
